fitness,epsilon,crossover_rate,mutation_rate,scaling_factor
938.0000,0.0500,0.2000,0.0500,0.5000
938.0000,0.3000,0.2000,0.0100,0.1000
938.0000,0.1000,0.6000,0.0100,5.0000
939.0000,0.1000,0.4000,0.1000,1.0000
939.0000,0.1000,0.4000,0.0100,0.1000
941.0000,0.1000,0.6000,0.0100,0.5000
942.0000,0.1000,0.6000,0.0200,1.0000
942.0000,0.3000,0.6000,0.0200,2.0000
943.0000,0.2000,0.2000,0.2000,0.1000
943.7213,0.0500,0.4000,0.1000,0.1000
944.0000,0.1000,0.6000,0.1000,2.0000
946.0000,0.3000,0.4000,0.0500,0.1000
947.0000,0.1000,0.6000,0.0200,0.5000
947.0000,0.3000,0.4000,0.2000,0.5000
947.0000,0.2000,0.6000,0.2000,0.1000
949.0000,0.3000,0.6000,0.0500,1.0000
949.1924,0.0500,0.1000,0.0200,0.5000
950.0000,0.1000,0.6000,0.0500,1.0000
952.0000,0.3000,0.4000,0.0100,1.0000
952.0000,0.2000,0.2000,0.0500,0.5000
955.0000,0.0500,0.4000,0.1000,1.0000
955.0000,0.3000,0.4000,0.0100,0.1000
956.0000,0.2000,0.2000,0.0100,0.1000
957.0000,0.0500,0.0500,0.2000,0.5000
957.0000,0.1000,0.4000,0.2000,5.0000
959.0000,0.0500,0.1000,0.2000,1.0000
960.0000,0.5000,0.6000,0.1000,0.1000
961.0000,0.2000,0.6000,0.1000,0.5000
961.0000,0.3000,0.4000,0.2000,1.0000
962.0000,0.5000,0.6000,0.2000,1.0000
962.9879,0.1000,0.2000,0.0500,0.5000
964.0000,0.1000,0.2000,0.2000,0.1000
964.0000,0.0500,0.1000,0.1000,1.0000
964.0000,0.5000,0.4000,0.0500,0.5000
964.5142,0.2000,0.0500,0.0500,0.1000
965.0000,0.1000,0.6000,0.0200,2.0000
965.0000,0.3000,0.4000,0.1000,1.0000
966.0000,0.2000,0.6000,0.1000,1.0000
967.0000,0.1000,0.1000,0.1000,0.1000
968.0000,0.0500,0.0500,0.0200,0.1000
968.0000,0.2000,0.4000,0.1000,0.1000
970.0000,0.1000,0.6000,0.1000,5.0000
970.0000,0.5000,0.4000,0.0500,0.1000
970.0000,0.1000,0.6000,0.2000,2.0000
970.0000,0.0500,0.4000,0.0500,2.0000
971.0000,0.2000,0.2000,0.1000,0.1000
971.0000,0.2000,0.4000,0.2000,1.0000
972.0000,0.0500,0.6000,0.0500,0.1000
973.0000,0.1000,0.0500,0.1000,0.1000
973.0000,0.0500,0.6000,0.2000,2.0000
974.0000,0.0500,0.2000,0.2000,2.0000
974.5389,0.5000,0.4000,0.0500,1.0000
978.0000,0.0500,0.4000,0.1000,2.0000
978.0000,0.1000,0.6000,0.2000,1.0000
979.0000,0.1000,0.2000,0.0100,0.5000
979.4821,0.3000,0.1000,0.2000,0.1000
981.4858,0.5000,0.1000,0.2000,0.1000
982.0000,0.0500,0.6000,0.2000,5.0000
982.0000,0.2000,0.4000,0.1000,2.0000
983.0000,0.2000,0.2000,0.2000,1.0000
984.0000,0.2000,0.2000,0.2000,0.5000
984.0000,0.3000,0.4000,0.0500,2.0000
984.7808,0.2000,0.2000,0.0200,0.5000
985.0000,0.3000,0.4000,0.0200,0.5000
985.0000,0.2000,0.2000,0.1000,0.5000
985.0000,0.1000,0.2000,0.0200,1.0000
985.6446,0.3000,0.2000,0.2000,0.1000
986.0000,0.0500,0.4000,0.1000,0.5000
987.0000,0.3000,0.2000,0.0200,0.1000
987.0000,0.2000,0.4000,0.0500,0.1000
987.0000,0.5000,0.4000,0.2000,0.5000
988.0000,0.5000,0.6000,0.0100,1.0000
988.0000,0.2000,0.4000,0.2000,2.0000
988.0000,0.0500,0.6000,0.0200,0.5000
988.0000,0.5000,0.6000,0.0500,0.1000
989.0000,0.1000,0.2000,0.0500,1.0000
989.0000,0.5000,0.6000,0.0200,0.5000
991.0000,0.1000,0.1000,0.2000,2.0000
992.8748,0.0500,0.2000,0.0100,0.5000
993.0000,0.0500,0.6000,0.0100,0.1000
994.0000,0.0500,0.6000,0.0500,2.0000
994.0000,0.0500,0.1000,0.0500,0.1000
994.4078,0.2000,0.6000,0.0200,2.0000
997.0000,0.0500,0.2000,0.0100,0.1000
999.0000,0.3000,0.2000,0.0100,0.5000
999.0000,0.5000,0.6000,0.0200,0.1000
1000.0000,0.5000,0.4000,0.2000,0.1000
1000.0000,0.0500,0.2000,0.0200,0.1000
1000.0000,0.1000,0.4000,0.2000,1.0000
1000.4623,0.1000,0.2000,0.0200,0.1000
1001.0000,0.1000,0.4000,0.1000,2.0000
1003.0183,0.0500,0.1000,0.0200,0.1000
1003.2959,0.1000,0.4000,0.0200,1.0000
1003.5233,0.0500,0.0500,0.2000,0.1000
1005.0000,0.5000,0.4000,0.0200,1.0000
1005.0000,0.2000,0.2000,0.1000,1.0000
1005.1645,0.2000,0.0500,0.2000,1.0000
1005.3562,0.5000,0.6000,0.0100,0.1000
1005.9418,0.3000,0.1000,0.2000,1.0000
1007.4751,0.3000,0.2000,0.2000,2.0000
1008.0000,0.2000,0.2000,0.0200,0.1000
1008.2079,0.5000,0.4000,0.0500,2.0000
1009.0000,0.1000,0.1000,0.0500,1.0000
1010.0000,0.3000,0.6000,0.2000,0.5000
1011.0000,0.0500,0.6000,0.0500,5.0000
1011.0000,0.3000,0.2000,0.0500,1.0000
1012.6881,0.3000,0.6000,0.2000,0.1000
1015.0000,0.1000,0.1000,0.0100,0.1000
1018.0000,0.1000,0.0500,0.2000,2.0000
1019.0000,0.2000,0.1000,0.2000,1.0000
1020.0000,0.1000,0.1000,0.0200,0.5000
1020.0000,0.2000,0.2000,0.0200,1.0000
1020.0000,0.0500,0.4000,0.0500,1.0000
1021.0000,0.3000,0.4000,0.0500,0.5000
1021.0000,0.0500,0.0500,0.0500,0.5000
1022.0000,0.5000,0.6000,0.0500,2.0000
1022.3312,0.2000,0.2000,0.1000,5.0000
1023.0000,0.1000,0.4000,0.0500,5.0000
1023.0000,0.0500,0.1000,0.1000,0.1000
1024.0000,0.1000,0.1000,0.2000,0.5000
1024.1814,0.3000,0.4000,0.0200,2.0000
1024.6941,0.0500,0.2000,0.0500,5.0000
1025.0000,0.0500,0.2000,0.2000,0.1000
1025.0000,0.0500,0.6000,0.0200,1.0000
1026.1291,0.5000,0.2000,0.2000,0.5000
1028.0000,0.1000,0.2000,0.1000,2.0000
1029.0000,0.5000,0.6000,0.2000,2.0000
1030.0000,0.2000,0.1000,0.0200,0.5000
1030.0000,0.3000,0.4000,0.0200,1.0000
1030.0000,0.5000,0.2000,0.2000,0.1000
1030.0000,0.3000,0.2000,0.0200,0.5000
1031.0000,0.3000,0.1000,0.0500,0.1000
1031.0000,0.1000,0.6000,0.0100,1.0000
1031.0000,0.1000,0.4000,0.0200,2.0000
1031.0000,0.0500,0.2000,0.0200,2.0000
1031.0000,0.0500,0.1000,0.0100,0.1000
1032.0000,0.1000,0.2000,0.1000,0.1000
1032.1120,0.0500,0.0500,0.2000,2.0000
1033.6262,0.1000,0.0500,0.0500,0.5000
1033.8672,0.5000,0.2000,0.1000,0.5000
1034.0000,0.5000,0.6000,0.1000,1.0000
1034.0378,0.2000,0.1000,0.1000,2.0000
1036.0000,0.1000,0.0500,0.1000,0.5000
1037.0000,0.2000,0.4000,0.0500,1.0000
1037.0000,0.3000,0.2000,0.1000,0.1000
1038.0000,0.3000,0.1000,0.0500,0.5000
1038.0000,0.2000,0.2000,0.1000,2.0000
1038.0000,0.0500,0.2000,0.2000,1.0000
1039.0000,0.2000,0.4000,0.0100,0.5000
1039.0000,0.1000,0.4000,0.0200,0.1000
1039.0000,0.1000,0.4000,0.0100,2.0000
1041.0000,0.5000,0.4000,0.2000,2.0000
1041.0000,0.2000,0.6000,0.0100,2.0000
1042.0000,0.3000,0.6000,0.2000,2.0000
1043.0000,0.3000,0.2000,0.2000,0.5000
1043.0000,0.5000,0.1000,0.1000,0.1000
1043.0000,0.5000,0.1000,0.2000,1.0000
1044.8356,0.3000,0.6000,0.1000,5.0000
1045.0000,0.1000,0.1000,0.1000,0.5000
1045.2078,0.3000,0.2000,0.1000,5.0000
1045.5025,0.3000,0.6000,0.1000,2.0000
1047.0000,0.3000,0.0500,0.2000,0.1000
1047.0000,0.5000,0.4000,0.1000,0.5000
1048.0000,0.2000,0.1000,0.2000,2.0000
1049.0000,0.3000,0.4000,0.0100,0.5000
1049.0000,0.2000,0.6000,0.1000,5.0000
1049.4392,0.3000,0.4000,0.2000,5.0000
1051.0000,0.0500,0.1000,0.2000,0.1000
1051.0000,0.1000,0.2000,0.0100,2.0000
1052.0000,0.0500,0.1000,0.0100,0.5000
1052.1510,0.3000,0.2000,0.1000,1.0000
1052.8132,0.3000,0.1000,0.0100,0.1000
1053.0000,0.1000,0.1000,0.1000,2.0000
1053.4909,0.5000,0.1000,0.2000,2.0000
1056.0000,0.0500,0.4000,0.0200,1.0000
1056.8470,0.5000,0.6000,0.1000,2.0000
1057.0000,0.3000,0.1000,0.0200,0.5000
1058.0000,0.1000,0.1000,0.0200,1.0000
1059.0000,0.1000,0.1000,0.0500,0.5000
1059.0000,0.2000,0.2000,0.0500,2.0000
1059.0000,0.0500,0.6000,0.1000,5.0000
1059.0000,0.0500,0.4000,0.2000,5.0000
1060.0000,0.3000,0.1000,0.2000,0.5000
1061.0000,0.1000,0.2000,0.0100,0.1000
1063.0000,0.1000,0.0500,0.2000,0.5000
1063.0000,0.1000,0.4000,0.2000,2.0000
1064.0000,0.2000,0.0500,0.2000,0.5000
1067.0000,0.1000,0.1000,0.0500,0.1000
1068.0000,0.1000,0.4000,0.0200,5.0000
1068.0000,0.5000,0.2000,0.1000,1.0000
1069.0000,0.2000,0.0500,0.2000,0.1000
1071.0000,0.0500,0.1000,0.0200,1.0000
1071.0000,0.0500,0.0500,0.1000,2.0000
1072.0000,0.2000,0.4000,0.0200,1.0000
1072.0000,0.5000,0.1000,0.0200,0.1000
1072.4704,0.0500,0.4000,0.0200,0.1000
1073.0000,0.2000,0.1000,0.0100,0.1000
1073.0993,0.3000,0.1000,0.1000,0.5000
1073.3381,0.2000,0.2000,0.0100,2.0000
1073.7371,0.1000,0.1000,0.2000,1.0000
1074.0000,0.0500,0.2000,0.1000,2.0000
1074.8917,0.5000,0.0500,0.2000,0.5000
1074.9702,0.1000,0.1000,0.1000,1.0000
1075.0000,0.1000,0.6000,0.0500,5.0000
1076.0000,0.3000,0.1000,0.1000,0.1000
1077.0000,0.0500,0.1000,0.0100,1.0000
1077.3258,0.3000,0.2000,0.0200,1.0000
1078.0000,0.3000,0.2000,0.0500,0.5000
1078.6062,0.1000,0.0500,0.0100,0.5000
1079.0000,0.3000,0.0500,0.1000,0.5000
1079.0000,0.3000,0.2000,0.2000,5.0000
1079.7228,0.1000,0.0500,0.0100,0.1000
1080.0000,0.0500,0.0500,0.0200,0.5000
1080.0000,0.1000,0.2000,0.0100,1.0000
1080.9264,0.5000,0.6000,0.0100,2.0000
1082.0000,0.2000,0.6000,0.0200,5.0000
1082.1848,0.2000,0.1000,0.1000,0.1000
1083.0000,0.5000,0.4000,0.0100,0.1000
1083.1781,0.5000,0.4000,0.1000,1.0000
1084.0000,0.0500,0.2000,0.0500,2.0000
1084.0000,0.2000,0.2000,0.0100,1.0000
1084.0000,0.5000,0.4000,0.2000,1.0000
1085.0000,0.1000,0.6000,0.0500,2.0000
1085.0000,0.0500,0.1000,0.2000,2.0000
1085.3522,0.2000,0.1000,0.1000,1.0000
1085.3735,0.0500,0.4000,0.1000,5.0000
1086.0000,0.1000,0.1000,0.0200,0.1000
1086.2136,0.0500,0.0500,0.1000,0.1000
1087.0000,0.3000,0.2000,0.1000,0.5000
1087.0000,0.5000,0.2000,0.0100,0.1000
1087.8401,0.1000,0.2000,0.2000,2.0000
1089.0000,0.1000,0.2000,0.0200,2.0000
1089.8150,0.3000,0.6000,0.2000,5.0000
1090.0855,0.5000,0.1000,0.2000,0.5000
1091.0000,0.1000,0.6000,0.2000,5.0000
1091.5137,0.1000,0.0500,0.2000,1.0000
1092.0675,0.0500,0.0500,0.2000,1.0000
1092.8272,0.5000,0.4000,0.0100,0.5000
1093.0000,0.2000,0.6000,0.0100,0.5000
1094.5377,0.1000,0.0500,0.0500,0.1000
1095.0000,0.0500,0.2000,0.0200,0.5000
1098.0000,0.5000,0.2000,0.2000,2.0000
1098.0000,0.3000,0.4000,0.1000,5.0000
1098.0000,0.5000,0.2000,0.2000,1.0000
1098.6945,0.1000,0.0500,0.0200,0.1000
1099.0000,0.2000,0.4000,0.0500,5.0000
1099.0000,0.3000,0.2000,0.2000,1.0000
1099.4518,0.2000,0.0500,0.0100,0.1000
1100.0000,0.1000,0.1000,0.0200,2.0000
1100.0000,0.0500,0.1000,0.1000,2.0000
1101.0000,0.0500,0.0500,0.0500,1.0000
1101.0000,0.1000,0.4000,0.0100,1.0000
1101.1648,0.3000,0.0500,0.2000,1.0000
1102.0000,0.1000,0.2000,0.2000,0.5000
1102.0000,0.0500,0.1000,0.0500,1.0000
1102.0000,0.0500,0.2000,0.0200,1.0000
1103.0000,0.1000,0.2000,0.1000,5.0000
1103.0000,0.2000,0.1000,0.0200,0.1000
1103.5825,0.5000,0.1000,0.0500,0.1000
1103.6616,0.3000,0.1000,0.2000,2.0000
1103.8922,0.3000,0.1000,0.0500,1.0000
1105.0000,0.3000,0.4000,0.0500,1.0000
1108.0000,0.1000,0.1000,0.0500,2.0000
1108.0000,0.2000,0.1000,0.0100,1.0000
1108.0000,0.2000,0.2000,0.2000,5.0000
1108.6554,0.5000,0.0500,0.1000,0.5000
1109.0000,0.5000,0.6000,0.0200,1.0000
1110.0000,0.2000,0.1000,0.1000,0.5000
1111.0000,0.5000,0.4000,0.0200,0.5000
1112.0000,0.2000,0.2000,0.2000,2.0000
1112.0000,0.0500,0.0500,0.0100,0.1000
1115.0000,0.5000,0.6000,0.0500,1.0000
1115.3850,0.0500,0.1000,0.2000,5.0000
1116.0120,0.2000,0.4000,0.1000,5.0000
1116.8560,0.0500,0.0500,0.0500,2.0000
1117.0445,0.3000,0.0500,0.0500,0.1000
1117.4726,0.2000,0.1000,0.0200,1.0000
1118.0000,0.3000,0.2000,0.0100,1.0000
1119.0000,0.1000,0.0500,0.0200,0.5000
1119.7200,0.2000,0.0500,0.0500,0.5000
1119.9782,0.1000,0.1000,0.2000,5.0000
1121.0000,0.3000,0.0500,0.0200,0.1000
1121.0000,0.1000,0.4000,0.0500,0.5000
1121.0000,0.5000,0.6000,0.0500,0.5000
1121.0000,0.0500,0.4000,0.0100,1.0000
1121.0533,0.1000,0.0500,0.1000,2.0000
1122.9713,0.2000,0.4000,0.2000,5.0000
1125.0000,0.5000,0.0500,0.2000,0.1000
1127.0000,0.5000,0.2000,0.0200,0.1000
1128.0000,0.3000,0.6000,0.0200,5.0000
1129.0000,0.2000,0.6000,0.0500,5.0000
1129.4126,0.2000,0.0500,0.0200,0.1000
1130.5327,0.2000,0.0500,0.0500,1.0000
1131.0000,0.2000,0.0500,0.1000,1.0000
1131.0000,0.3000,0.0500,0.2000,0.5000
1132.0000,0.1000,0.2000,0.0500,5.0000
1134.0000,0.2000,0.1000,0.0200,2.0000
1134.0000,0.1000,0.2000,0.0200,0.5000
1134.1510,0.5000,0.6000,0.2000,5.0000
1135.6972,0.0500,0.2000,0.0100,1.0000
1137.0000,0.2000,0.1000,0.0100,2.0000
1137.0000,0.5000,0.2000,0.0100,1.0000
1137.0000,0.1000,0.0500,0.0500,1.0000
1138.0000,0.5000,0.6000,0.0100,0.5000
1140.0000,0.1000,0.1000,0.0100,1.0000
1141.0000,0.0500,0.2000,0.1000,5.0000
1141.0000,0.2000,0.0500,0.0100,0.5000
1141.4636,0.5000,0.0500,0.2000,2.0000
1142.8653,0.1000,0.2000,0.2000,5.0000
1145.0000,0.1000,0.0500,0.2000,5.0000
1146.2989,0.3000,0.1000,0.1000,1.0000
1147.0000,0.0500,0.0500,0.2000,5.0000
1147.1628,0.0500,0.0500,0.1000,0.5000
1148.0000,0.3000,0.1000,0.1000,2.0000
1148.0000,0.2000,0.1000,0.0500,2.0000
1148.0000,0.1000,0.0500,0.1000,5.0000
1149.0000,0.0500,0.1000,0.0100,2.0000
1149.2373,0.0500,0.1000,0.2000,0.5000
1150.0000,0.5000,0.2000,0.0500,0.1000
1151.0000,0.3000,0.0500,0.1000,0.1000
1151.5952,0.0500,0.1000,0.0500,2.0000
1152.0868,0.5000,0.2000,0.0500,0.5000
1153.0000,0.5000,0.1000,0.0100,0.1000
1154.2349,0.0500,0.2000,0.2000,5.0000
1154.6241,0.3000,0.2000,0.0500,2.0000
1155.0000,0.2000,0.6000,0.2000,2.0000
1156.0000,0.2000,0.0500,0.1000,0.1000
1156.0000,0.5000,0.4000,0.0100,2.0000
1156.0000,0.5000,0.1000,0.0500,1.0000
1156.0000,0.1000,0.1000,0.0100,2.0000
1156.0000,0.2000,0.0500,0.1000,2.0000
1157.8442,0.5000,0.1000,0.2000,5.0000
1159.0000,0.5000,0.6000,0.0200,2.0000
1159.0000,0.0500,0.1000,0.0500,0.5000
1159.0000,0.2000,0.2000,0.0500,1.0000
1160.0000,0.2000,0.0500,0.0500,2.0000
1162.0000,0.5000,0.0500,0.0200,0.1000
1163.0000,0.1000,0.4000,0.0500,1.0000
1163.1333,0.5000,0.1000,0.0500,0.5000
1166.0000,0.0500,0.4000,0.0100,2.0000
1168.0000,0.5000,0.4000,0.0100,1.0000
1168.0000,0.2000,0.1000,0.0500,1.0000
1170.0000,0.1000,0.0500,0.1000,1.0000
1170.0000,0.3000,0.0500,0.0200,0.5000
1171.0000,0.0500,0.0500,0.0100,1.0000
1173.0000,0.3000,0.4000,0.0500,5.0000
1173.0000,0.0500,0.1000,0.0200,2.0000
1175.0000,0.2000,0.1000,0.0500,0.5000
1176.0000,0.2000,0.4000,0.0200,2.0000
1177.0000,0.2000,0.6000,0.2000,5.0000
1179.0000,0.3000,0.1000,0.0100,2.0000
1179.0000,0.1000,0.6000,0.0100,2.0000
1179.6680,0.5000,0.0500,0.0500,1.0000
1180.0000,0.2000,0.1000,0.1000,5.0000
1181.5019,0.3000,0.2000,0.1000,2.0000
1183.0000,0.2000,0.0500,0.1000,0.5000
1187.0000,0.2000,0.4000,0.0200,5.0000
1187.0000,0.0500,0.1000,0.0500,5.0000
1192.0000,0.2000,0.2000,0.0100,0.5000
1196.0000,0.3000,0.0500,0.2000,2.0000
1196.2679,0.5000,0.4000,0.2000,5.0000
1201.0000,0.3000,0.1000,0.0200,2.0000
1201.0000,0.5000,0.6000,0.0200,5.0000
1201.0000,0.3000,0.0500,0.0100,0.5000
1203.0000,0.0500,0.4000,0.0200,5.0000
1204.0000,0.5000,0.2000,0.2000,5.0000
1204.0000,0.5000,0.1000,0.1000,1.0000
1205.0000,0.0500,0.0500,0.0200,2.0000
1206.0000,0.3000,0.6000,0.0100,5.0000
1206.1102,0.5000,0.1000,0.0200,0.5000
1207.5000,0.3000,0.6000,0.0500,5.0000
1208.0000,0.3000,0.6000,0.0100,1.0000
1209.0000,0.3000,0.4000,0.0100,2.0000
1209.0000,0.5000,0.4000,0.1000,2.0000
1209.0000,0.2000,0.0500,0.2000,2.0000
1209.0000,0.5000,0.2000,0.0500,2.0000
1209.1612,0.0500,0.0500,0.0500,5.0000
1210.0000,0.5000,0.2000,0.0500,1.0000
1211.0000,0.0500,0.0500,0.1000,5.0000
1211.0000,0.5000,0.4000,0.1000,5.0000
1211.0000,0.5000,0.2000,0.1000,2.0000
1212.7234,0.3000,0.1000,0.2000,5.0000
1213.0000,0.5000,0.0500,0.1000,0.1000
1214.0000,0.1000,0.6000,0.0200,5.0000
1215.0000,0.3000,0.0500,0.0200,1.0000
1215.0000,0.3000,0.0500,0.0500,1.0000
1217.0000,0.3000,0.0500,0.0100,0.1000
1220.0000,0.0500,0.4000,0.0500,5.0000
1222.0000,0.0500,0.6000,0.0100,5.0000
1222.0000,0.1000,0.0500,0.0200,2.0000
1222.0000,0.3000,0.1000,0.0200,1.0000
1222.0000,0.5000,0.0500,0.1000,1.0000
1223.0000,0.5000,0.0500,0.2000,1.0000
1223.0000,0.5000,0.4000,0.0200,2.0000
1223.0000,0.5000,0.1000,0.0200,1.0000
1224.0000,0.5000,0.1000,0.0200,2.0000
1224.0000,0.2000,0.1000,0.0100,0.5000
1224.0000,0.0500,0.2000,0.0100,2.0000
1225.0000,0.2000,0.0500,0.0200,1.0000
1225.0000,0.2000,0.2000,0.0500,5.0000
1225.0856,0.0500,0.1000,0.0200,5.0000
1225.6129,0.0500,0.6000,0.0200,5.0000
1225.9629,0.3000,0.1000,0.0200,0.1000
1227.3415,0.5000,0.0500,0.0500,0.1000
1231.0000,0.1000,0.1000,0.1000,5.0000
1232.0000,0.5000,0.4000,0.0500,5.0000
1232.0000,0.2000,0.2000,0.0200,2.0000
1233.0000,0.3000,0.1000,0.0100,5.0000
1234.4346,0.1000,0.0500,0.0100,1.0000
1237.0000,0.2000,0.4000,0.0100,2.0000
1237.0000,0.0500,0.2000,0.0200,5.0000
1238.0000,0.5000,0.2000,0.0100,0.5000
1239.0000,0.2000,0.0500,0.2000,5.0000
1240.6269,0.1000,0.0500,0.0200,1.0000
1241.0000,0.2000,0.4000,0.0100,5.0000
1241.4523,0.2000,0.0500,0.0200,2.0000
1243.1563,0.3000,0.0500,0.1000,2.0000
1244.0000,0.3000,0.0500,0.0500,0.5000
1245.6471,0.1000,0.4000,0.0100,5.0000
1247.0000,0.1000,0.1000,0.0100,5.0000
1247.5014,0.0500,0.0500,0.0200,1.0000
1248.0000,0.3000,0.6000,0.0100,2.0000
1248.9201,0.0500,0.0500,0.1000,1.0000
1249.0000,0.3000,0.2000,0.0100,2.0000
1249.0000,0.1000,0.1000,0.0100,0.5000
1249.0000,0.3000,0.0500,0.1000,5.0000
1249.1128,0.3000,0.0500,0.2000,5.0000
1250.0000,0.2000,0.6000,0.0100,5.0000
1250.4867,0.2000,0.1000,0.2000,5.0000
1252.0000,0.0500,0.0500,0.0100,0.5000
1252.0000,0.5000,0.1000,0.1000,0.5000
1252.0000,0.2000,0.0500,0.0200,0.5000
1253.5628,0.5000,0.1000,0.0500,2.0000
1254.1772,0.1000,0.0500,0.0100,2.0000
1257.7112,0.2000,0.0500,0.1000,5.0000
